,#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
574,575,"Salo, Robin",LD,23,ELC,RFA,"$842,500 ",21,24,1,4,5,16:41,"$35,104 ","$842,500 ","$210,625 ","$168,500 ","$2,404 "
575,576,"Karlsson, William",C,28,Stnd,UFA,"$5,900,000 ",67,135,12,23,35,18:16,"$43,703 ","$491,666 ","$256,521 ","$168,571 ","$4,820 "
576,577,"Oesterle, Jordan",LD/RD,29,Stnd,UFA,"$1,350,000 ",45,63,2,6,8,18:17,"$21,428 ","$675,000 ","$225,000 ","$168,750 ","$1,640 "
577,578,"Morrissey, Joshua",LD,26,Stnd,UFA,"$6,250,000 ",79,173,12,25,37,23:39,"$36,127 ","$520,833 ","$250,000 ","$168,918 ","$3,345 "
578,579,"Zadorov, Nikita",LD/RD,26,Stnd,UFA,"$3,750,000 ",74,106,4,18,22,16:54,"$35,377 ","$937,500 ","$208,333 ","$170,454 ","$2,998 "
579,580,"Faksa, Radek","C, LW",27,Stnd,UFA,"$3,250,000 ",77,89,5,14,19,15:46,"$36,516 ","$650,000 ","$232,142 ","$171,052 ","$2,677 "
580,581,"Mete, Victor",LD/RD,23,Stnd,UFA,"$1,200,000 ",37,27,0,7,7,14:37,"$44,444 ",∞,"$171,428 ","$171,428 ","$2,218 "
581,582,"Patrick, Nolan","C, RW",23,Stnd,UFA,"$1,200,000 ",25,34,2,5,7,11:30,"$35,294 ","$600,000 ","$240,000 ","$171,428 ","$4,173 "
582,583,"Anderson, Josh","RW, LW",27,Stnd,UFA,"$5,500,000 ",69,151,19,13,32,17:13,"$36,423 ","$289,473 ","$423,076 ","$171,874 ","$4,629 "
583,584,"Thomson, Lassi",RD,21,ELC,RFA,"$863,333 ",16,18,0,5,5,17:14,"$47,962 ",∞,"$172,666 ","$172,666 ","$3,131 "
584,585,"Heinola, Ville",LD,20,ELC,RFA,"$863,333 ",12,25,0,5,5,14:53,"$34,533 ",∞,"$172,666 ","$172,666 ","$4,833 "
585,586,"Pionk, Neal",RD,26,Stnd,UFA,"$5,875,000 ",77,140,3,31,34,21:08,"$41,964 ","$1,958,333 ","$189,516 ","$172,794 ","$3,610 "
586,587,"Schultz, Justin",RD,31,Stnd,UFA,"$4,000,000 ",74,92,4,19,23,16:55,"$43,478 ","$1,000,000 ","$210,526 ","$173,913 ","$3,195 "
587,588,"MacDermid, Kurtis","LD/RD, LW",27,Stnd,UFA,"$875,000 ",58,46,2,3,5,7:23,"$19,021 ","$437,500 ","$291,666 ","$175,000 ","$2,043 "
588,589,"Marino, John",RD,24,Stnd,UFA,"$4,400,000 ",81,90,1,24,25,20:38,"$48,888 ","$4,400,000 ","$183,333 ","$176,000 ","$2,632 "
589,590,"Ylönen, Jesse","RW, LW",22,ELC,RFA,"$880,833 ",14,16,2,3,5,11:33,"$55,052 ","$440,416 ","$293,611 ","$176,166 ","$5,447 "
590,591,"Reilly, Mike",LD,28,Stnd,UFA,"$3,000,000 ",70,135,4,13,17,18:56,"$22,222 ","$750,000 ","$230,769 ","$176,470 ","$2,263 "
591,592,"Donskoi, Joonas",RW,29,Stnd,UFA,"$3,900,000 ",75,89,2,20,22,14:50,"$43,820 ","$1,950,000 ","$195,000 ","$177,272 ","$3,505 "
592,593,"Hägg, Robert",LD,26,Stnd,UFA,"$1,600,000 ",64,59,1,8,9,16:01,"$27,118 ","$1,600,000 ","$200,000 ","$177,777 ","$1,560 "
593,594,"Brodie, TJ",LD/RD,31,Stnd,UFA,"$5,000,000 ",82,68,4,24,28,21:18,"$73,529 ","$1,250,000 ","$208,333 ","$178,571 ","$2,862 "
594,595,"Girard, Samuel",LD/RD,23,Stnd,UFA,"$5,000,000 ",67,79,5,23,28,21:38,"$63,291 ","$1,000,000 ","$217,391 ","$178,571 ","$3,449 "
595,596,"McCabe, Jake",LD/RD,28,Stnd,UFA,"$4,000,000 ",75,80,4,18,22,20:18,"$50,000 ","$1,000,000 ","$222,222 ","$181,818 ","$2,627 "
596,597,"Bordeleau, Thomas","C, LW",19,ELC,RFA,"$916,667 ",8,13,0,5,5,15:35,"$70,512 ",∞,"$183,333 ","$183,333 ","$7,352 "
